Read_ID	Hap1_Count	Hap2_Count	Other_Count
SRR17968711.884974	4	46	0
SRR17968712.2881932	0	1	0
SRR17968711.167023	47	1	0
SRR17968711.1190281	1	45	2
SRR17968711.1394059	0	4	0
SRR17968712.273470	43	2	0
SRR17968711.725528	0	1	0
SRR17968712.888472	0	2	0
SRR17968711.670182	0	3	0
SRR17968712.928944	0	4	0
SRR17968711.1483803	0	1	0
SRR17968712.2585150	0	0	1
SRR17968712.1150774	1	0	1
SRR17968712.790819	1	0	0
SRR17968711.156337	1	49	2
SRR17968712.596342	0	5	0
SRR17968711.2028503	3	34	2
SRR17968712.3118714	1	1	0
SRR17968712.2478609	0	1	0
SRR17968711.2137316	2	0	0
SRR17968712.915007	1	0	0
SRR17968712.1553360	48	3	1
SRR17968711.200654	48	0	2
SRR17968712.755053	46	2	2
SRR17968712.1525224	2	0	0
SRR17968711.1574722	0	3	0
SRR17968711.171884	4	40	3
SRR17968711.315645	47	2	0
SRR17968712.2216718	2	46	1
SRR17968712.2498430	0	1	0
SRR17968712.783603	0	11	0
SRR17968712.702065	31	0	1
SRR17968712.2018501	0	1	0
SRR17968712.1656976	0	3	0
SRR17968711.408386	47	1	1
SRR17968711.487898	43	2	1
SRR17968712.741651	0	3	0
SRR17968712.1077778	0	1	0
SRR17968712.3207766	1	0	0
SRR17968711.901368	0	3	0
SRR17968711.1686549	1	48	0
SRR17968711.868494	0	4	0
SRR17968711.1698023	36	1	0
SRR17968711.94027	0	47	1
SRR17968711.539889	48	1	0
SRR17968711.346420	1	20	0
SRR17968712.509527	0	1	0
SRR17968711.1825396	9	1	0
SRR17968711.1707857	1	0	0
SRR17968711.2456572	1	41	5
SRR17968711.2475893	1	0	2
SRR17968712.1050998	0	3	0
SRR17968712.477625	0	0	1
SRR17968712.1903470	20	0	0
SRR17968712.2472355	0	1	0
SRR17968712.133101	41	1	5
SRR17968712.1602192	0	2	0
SRR17968711.2458441	1	46	1
SRR17968712.1138142	0	1	0
SRR17968711.1397410	1	0	0
SRR17968712.3643564	4	39	2
SRR17968712.3181430	0	1	0
SRR17968711.113538	1	44	0
SRR17968712.258892	46	1	1
SRR17968712.690879	9	0	0
SRR17968711.1851559	16	2	0
SRR17968712.290420	6	0	0
SRR17968712.3328030	2	38	3
SRR17968711.773899	8	0	0
SRR17968711.712141	1	33	0
SRR17968712.17514	45	2	0
SRR17968712.790874	26	0	0
SRR17968711.1205308	1	0	0
SRR17968712.477895	1	0	0
SRR17968711.2242777	1	0	0
SRR17968712.3699988	0	1	0
SRR17968712.2628507	0	12	0
SRR17968711.2392889	2	43	0
SRR17968711.679516	2	44	1
SRR17968712.1038649	1	0	0
SRR17968712.2386300	0	5	0
SRR17968711.831885	43	1	1
SRR17968711.831605	39	2	2
SRR17968712.273936	9	0	0
SRR17968711.388062	43	2	0
SRR17968712.1992524	0	3	0
SRR17968711.1828286	1	6	0
SRR17968711.2355134	0	20	0
SRR17968711.828538	1	30	2
SRR17968712.67063	2	10	0
SRR17968711.1116178	0	16	1
SRR17968712.1764895	4	0	0
SRR17968712.2253324	16	1	0
SRR17968712.1537881	15	0	0
SRR17968711.2410028	0	12	0
SRR17968712.1405360	4	0	0
SRR17968711.1271790	6	1	0
SRR17968712.2818073	0	5	2
SRR17968712.220775	1	41	1
SRR17968711.98795	3	42	1
SRR17968711.1126751	28	0	0
SRR17968711.721	1	3	0
SRR17968711.1325702	0	23	1
SRR17968711.2470512	44	1	0
SRR17968711.1643081	4	39	0
SRR17968712.632819	3	9	1
SRR17968712.2782650	12	0	0
SRR17968711.1773194	42	0	0
SRR17968712.747423	10	0	0
SRR17968712.224068	41	1	3
SRR17968712.2134140	11	1	0
SRR17968711.736406	2	39	1
SRR17968712.2707713	0	5	0
SRR17968712.1402877	5	0	0
SRR17968712.1147667	0	3	0
SRR17968711.486733	36	3	2
SRR17968711.1318730	24	2	0
SRR17968712.3024186	0	2	0
SRR17968712.3596172	39	1	1
SRR17968712.1546836	1	9	1
SRR17968712.2723643	0	4	0
SRR17968712.3289750	0	8	1
SRR17968712.3191962	1	0	0
SRR17968711.784744	6	0	0
SRR17968711.806976	0	6	0
SRR17968712.1879305	5	0	0
SRR17968711.369208	0	14	0
SRR17968712.873983	33	0	1
SRR17968711.2105505	10	0	0
SRR17968712.3452158	0	1	0
SRR17968712.685803	0	12	0
