Read_ID	Hap1_Count	Hap2_Count	Other_Count
SRR17981951.8193973	33	0	1
SRR17981951.8193971	32	1	1
SRR17981951.7702138	16	0	0
SRR17981951.7702137	29	1	0
SRR17981951.8283656	0	21	1
SRR17981951.8798501	11	1	0
SRR17981951.8798500	23	0	1
SRR17981951.8193970	12	0	2
SRR17981951.8213418	0	8	1
SRR17981951.8283657	1	12	0
SRR17981951.9266171	3	2	0
SRR17981951.7798619	5	0	0
SRR17981951.7798601	15	0	0
SRR17981951.7798613	15	0	0
SRR17981951.7798615	11	0	3
SRR17981951.7798602	10	1	1
SRR17981951.7798606	13	1	1
SRR17981951.7798612	14	0	1
SRR17981951.7798614	13	1	0
SRR17981951.7798616	11	2	1
SRR17981951.7798618	14	1	0
SRR17981951.7798607	11	3	1
SRR17981951.7798609	11	0	1
SRR17981951.7798600	9	1	1
SRR17981951.7798608	12	2	0
SRR17981951.7798604	13	1	0
SRR17981951.7798610	12	2	1
SRR17981951.7798611	14	1	0
SRR17981951.7798605	13	0	1
SRR17981951.7798603	9	1	3
SRR17981951.7798617	13	1	0
SRR17981951.9795986	0	1	0
SRR17981951.9795989	0	11	0
SRR17981951.9795991	0	12	0
SRR17981951.9795995	0	12	1
SRR17981951.9795997	0	12	0
SRR17981951.9795994	0	13	0
SRR17981951.9795996	0	12	0
SRR17981951.9795987	0	13	0
SRR17981951.9795993	0	13	0
SRR17981951.9795992	0	12	1
SRR17981951.9795988	0	13	0
SRR17981951.9795990	0	12	1
SRR17981951.7652715	6	0	0
SRR17981951.8193981	4	2	2
SRR17981951.9250535	0	6	0
SRR17981951.8798499	4	0	0
SRR17981951.7702136	1	0	0
SRR17981951.7807235	0	4	0
SRR17981951.9197495	0	9	0
SRR17981951.9197481	1	7	0
SRR17981951.9197483	0	9	0
SRR17981951.9197485	0	9	0
SRR17981951.9197489	1	7	0
SRR17981951.9197491	1	6	2
SRR17981951.9197493	0	7	0
SRR17981951.9197480	0	9	0
SRR17981951.9197482	1	7	1
SRR17981951.9197484	0	9	0
SRR17981951.9197486	1	7	1
SRR17981951.9197488	1	7	0
SRR17981951.9197490	0	9	0
SRR17981951.9197492	0	9	0
SRR17981951.9197494	0	8	0
SRR17981951.9197487	1	8	0
SRR17981951.9197478	0	8	1
SRR17981951.9197479	1	8	0
SRR17981951.9219878	1	8	0
SRR17981951.9219877	1	7	0
SRR17981951.8461319	0	8	0
SRR17981951.8461321	0	8	0
SRR17981951.8461323	0	7	1
SRR17981951.8461327	0	8	0
SRR17981951.8461333	0	7	1
SRR17981951.8461320	0	8	0
SRR17981951.8461322	0	8	0
SRR17981951.8461326	0	8	0
SRR17981951.8461328	0	7	1
SRR17981951.8461334	0	8	0
SRR17981951.8461325	0	8	0
SRR17981951.8461329	0	8	0
SRR17981951.8461331	0	7	0
SRR17981951.8461332	0	8	0
SRR17981951.8461335	0	2	1
SRR17981951.8461318	1	7	0
SRR17981951.8461330	0	8	0
SRR17981951.8461324	0	7	1
SRR17981951.9197477	1	2	0
SRR17981951.8807971	3	0	0
SRR17981951.8807968	3	0	1
SRR17981951.8807969	5	0	2
SRR17981951.8807970	6	1	0
SRR17981951.8807967	4	2	1
SRR17981951.8807966	4	0	0
SRR17981951.8461317	0	2	0
SRR17981951.7681169	0	8	0
SRR17981951.7681171	0	6	2
SRR17981951.7681173	0	9	0
SRR17981951.7681175	0	9	0
SRR17981951.7681181	0	9	0
SRR17981951.7681183	0	8	0
SRR17981951.7681185	0	9	0
SRR17981951.7681187	0	7	0
SRR17981951.7681168	0	9	0
SRR17981951.7681170	0	9	0
SRR17981951.7681178	1	8	0
SRR17981951.7681180	2	7	0
SRR17981951.7681182	0	9	0
SRR17981951.7681184	0	9	0
SRR17981951.7681186	1	8	0
SRR17981951.7681179	0	8	0
SRR17981951.7681172	1	8	0
SRR17981951.7681176	2	7	0
SRR17981951.7681177	1	8	0
SRR17981951.7681174	0	7	2
SRR17981951.8840848	2	0	0
SRR17981951.8840847	9	0	0
SRR17981951.8502230	1	7	1
SRR17981951.8502229	0	7	1
SRR17981951.8502231	0	8	1
SRR17981951.8502232	0	8	0
